Год,Спутник,"Площадь с растительностью, кв. м","Площадь без растительности, кв. м",%A,1 - %A,%B,1 - %B
2003,Landsat 5,13401329,710207,"0,1069489799","0,8930510201","0,05032811453","0,9496718855"
2008,Landsat 5,12854237,1257299,"0,1893347228","0,8106652772","0,08909724639","0,9109027536"
2013,Landsat 5,11689476,2422060,"0,3647342904","0,6352657096","0,1716368792","0,8283631208"
2018,Landsat 8,9090676,5020860,"0,7560835856","0,2439164144","0,3557982632","0,6442017368"
2023,Sentinel-2,7470921,6640615,1,0,"0,4705805945","0,5294194055"
