Год,Спутник,Площадь с растительностью,Площадь без растительности,%A,1 - %A,%B,1 - %B
2015,Landsat 8,712367,0,0,1,0,1
2016,Landsat 8,616133,96233,"0,50771333","0,49228667","0,1350890763","0,8649109237"
2019,Landsat 8,522824,189542,1,0,"0,2660735267","0,7339264733"
2020,Landsat 8,534024,178343,"0,9409154699","0,05908453008","0,2503526974","0,7496473026"
2023,Sentinel-2,629390,82977,"0,437776324","0,562223676","0,1164806904","0,8835193096"
