Год,Спутник,Площадь с растительностью,Площадь без растительности,%A,1 - %A,%B,1 - %B
2003,Landsat 5,1448093,46673,"0,1687699784","0,8312300216","0,03122428527","0,9687757147"
2009,Landsat 5,1322124,172641,"0,6242713742","0,3757286258","0,1154970076","0,8845029924"
2014,Landsat 8,1218218,276548,1,0,"0,185010898","0,814989102"
2016,Landsat 8,1266911,227854,"0,8239220678","0,1760779322","0,1524345617","0,8475654383"
2019,Landsat 8,1298843,195922,"0,708455675","0,291544325","0,1310720206","0,8689279794"
2023,Sentinel-2,1431066,63700,"0,2303397602","0,7696602398","0,04261536588","0,9573846341"
