Год,Спутник,"Площадь с растительностью, кв. м","Площадь без растительности, кв. м",%A,1 - %A,%B,1 - %B
2001,Landsat 5,788350,730005,"0,5495378644","0,4504621356","0,4807867725","0,5192132275"
2008,Landsat 5,801844,716512,"0,539380517","0,460619483","0,4719001814","0,5280998186"
2011,Landsat 5,835391,682964,"0,5141260375","0,4858739625","0,4498052168","0,5501947832"
2018,Landsat 8,832727,685628,"0,5161314606","0,4838685394","0,4515597472","0,5484402528"
2023,Sentinel-2,189957,1328398,1,0,"0,874892894","0,125107106"
