Год,Спутник,Площадь с растительностью,Площадь без растительности,%A,1 - %A,%B,1 - %B
2016,Landsat 8,829776 м2,23365 м2,"0,04119365514","0,9588063449","0,02815820173","0,9718417983"
2017,Landsat 8,733159 м2,119982 м2,"0,2115342234","0,7884657766","0,1445956499","0,8554043501"
2018,Landsat 8,613054 м2,240087 м2,"0,423285302","0,576714698","0,2893395326","0,7106604674"
2019,Sentinel-2,455164 м2,397977 м2,"0,7016532117","0,2983467883","0,479619801","0,520380199"
2020,Sentinel-2,368720 м2,484421 м2,"0,8540582758","0,1459417242","0,583797314","0,416202686"
2021,Sentinel-2,317031 м2,536110 м2,"0,9451885493","0,05481145065","0,6460900291","0,3539099709"
2022,Sentinel-2,285941 м2,567199 м2,1,0,"0,6835567671","0,3164432329"
