Год,Спутник,Площадь с растительностью,Площадь без растительности,%A,1 - %A,%B,1 - %B
2018,Landsat 8,146564 м2,0 м2,0,1,0,1
2019,Sentinel-2,74831 м2,71733м2,"0,791947272","0,208052728","0,4894312382","0,5105687618"
2020,Sentinel-2,55985 м2,90578 м2,1,0,"0,6180098796","0,3819901204"
2021,Sentinel-2,90616 м2,55947 м2,"0,6176665415","0,3823334585","0,381724025","0,618275975"
2022,Sentinel-2,56117 м2,90446 м2,"0,9985426925","0,001457307514","0,6171092492","0,3828907508"
