Год,Спутник,Площадь с растительностью,Площадь без растительности,%A,1 - %A,%B,1 - %B
2018,Landsat 8,252048,0,0,1,0,1
2019,Landsat 8,191527,60521,"0,6060706203","0,3939293797","0,2401169618","0,7598830382"
2020,Landsat 8,152190,99858,1,0,"0,3961864407","0,6038135593"
2023,Sentinel-2,221166,30882,"0,309259148","0,690740852","0,1225242811","0,8774757189"
